Pipeline(memory=None,
     steps=[('tfidf', TfidfVectorizer(analyzer='char', binary=True, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 5), norm='l2', preprocessor=None, smooth_idf=True,
  ...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])
facebook_corpus_msr_396174,NAG
facebook_corpus_msr_422473,CAG
facebook_corpus_msr_341422,CAG
facebook_corpus_msr_481654,NAG
facebook_corpus_msr_427757,CAG
facebook_corpus_msr_469689,NAG
facebook_corpus_msr_470520,NAG
facebook_corpus_msr_477554,CAG
facebook_corpus_msr_440935,NAG
facebook_corpus_msr_466432,CAG
facebook_corpus_msr_408292,OAG
facebook_corpus_msr_428078,NAG
facebook_corpus_msr_456793,NAG
facebook_corpus_msr_407396,NAG
facebook_corpus_msr_496593,NAG
facebook_corpus_msr_488495,NAG
facebook_corpus_msr_495869,CAG
facebook_corpus_msr_467320,CAG
facebook_corpus_msr_382943,NAG
facebook_corpus_msr_419939,NAG
facebook_corpus_msr_490661,NAG
facebook_corpus_msr_419656,CAG
facebook_corpus_msr_332395,CAG
facebook_corpus_msr_489120,CAG
facebook_corpus_msr_443565,NAG
facebook_corpus_msr_477597,CAG
facebook_corpus_msr_443505,CAG
facebook_corpus_msr_330416,OAG
facebook_corpus_msr_352613,OAG
facebook_corpus_msr_332446,CAG
facebook_corpus_msr_367185,NAG
facebook_corpus_msr_330436,CAG
facebook_corpus_msr_470137,CAG
facebook_corpus_msr_483945,NAG
facebook_corpus_msr_456790,NAG
facebook_corpus_msr_408959,OAG
facebook_corpus_msr_408314,OAG
facebook_corpus_msr_440954,CAG
facebook_corpus_msr_481710,CAG
facebook_corpus_msr_335808,CAG
facebook_corpus_msr_496197,NAG
facebook_corpus_msr_326671,NAG
facebook_corpus_msr_471070,CAG
facebook_corpus_msr_403764,NAG
facebook_corpus_msr_325468,NAG
facebook_corpus_msr_495868,NAG
facebook_corpus_msr_358026,CAG
facebook_corpus_msr_466407,CAG
facebook_corpus_msr_333788,NAG
facebook_corpus_msr_487381,NAG
facebook_corpus_msr_328475,OAG
