Pipeline(steps=[('tfidf', TfidfVectorizer(analyzer='char', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 5), norm='l2', preprocessor=None, smooth_idf=True,
 ...', n_iter=5, n_jobs=1, random_state=None,
              shuffle=True, verbose=0, warm_start=False))])
sme_1,CAG
sme_2,CAG
sme_3,NAG
sme_4,NAG
sme_5,NAG
sme_6,NAG
sme_7,OAG
sme_8,NAG
sme_9,CAG
sme_10,CAG
sme_11,NAG
sme_12,NAG
sme_13,NAG
sme_14,NAG
sme_15,NAG
sme_16,CAG
sme_17,NAG
sme_18,OAG
sme_19,NAG
sme_20,OAG
sme_21,NAG
sme_22,NAG
sme_23,NAG
sme_24,NAG
sme_25,NAG
sme_26,OAG
sme_27,OAG
sme_28,NAG
sme_29,NAG
sme_30,OAG
sme_31,NAG
sme_32,CAG
sme_33,NAG
sme_34,NAG
sme_35,OAG
sme_36,NAG
sme_37,OAG
sme_38,OAG
sme_39,NAG
sme_40,OAG
sme_41,NAG
sme_42,CAG
sme_43,NAG
sme_44,NAG
sme_45,NAG
sme_46,NAG
sme_47,NAG
sme_48,NAG
sme_49,OAG
sme_50,NAG
sme_51,NAG
sme_52,NAG
sme_53,NAG
sme_54,NAG
sme_55,NAG
sme_56,NAG
sme_57,OAG
sme_58,NAG
sme_59,CAG
sme_60,NAG
sme_61,NAG
sme_62,CAG
sme_63,OAG
sme_64,NAG
sme_65,OAG
sme_66,OAG
sme_67,NAG
sme_68,CAG
sme_69,NAG
sme_70,NAG
sme_71,NAG
sme_72,CAG
sme_73,CAG
sme_74,CAG
sme_75,NAG
sme_76,OAG
sme_77,CAG
sme_78,OAG
sme_79,NAG
sme_80,CAG
sme_81,CAG
sme_82,NAG
sme_83,OAG
sme_84,OAG
sme_85,OAG
sme_86,CAG
sme_87,OAG
sme_88,OAG
sme_89,NAG
sme_90,OAG
sme_91,OAG
sme_92,NAG
sme_93,CAG
sme_94,OAG
sme_95,NAG
sme_96,OAG
sme_97,NAG
sme_98,CAG
sme_99,OAG
sme_100,NAG
sme_101,OAG
sme_102,OAG
sme_103,NAG
sme_104,OAG
sme_105,NAG
sme_106,NAG
sme_107,NAG
sme_108,CAG
sme_109,OAG
sme_110,NAG
sme_111,OAG
sme_112,OAG
sme_113,NAG
sme_114,OAG
